['https://c.tenor.com/KqsX9Z3vve0AAAAd/jerma-jerma-rotting.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/cVTD_HAnc8wAAAAd/bingus-mom.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/724975122842255471/779828742490292324/baby.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/emojis/745798314846584924.gif?v=1', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/437769974849994752/730993490200100914/crab_hell.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/RinB-fck4tcAAAAd/xeon-llok.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/724975122842255471/776355795503546418/image0-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/XYZKgVx2FFgAAAAC/pog-pogu.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1597667693531.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://is2.4chan.org/wsg/1597904943586.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1597920274779.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1599127280306.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://is2.4chan.org/wsg/1600616182416.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1598735039422.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1598647812807.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1598383134306.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1600201220342.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://i.4cdn.org/wsg/1600133975751.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/724055819548622968/752389344991510608/image0-27.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648704600437948421/743936500147814451/Koko.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/296056831514509312/748856543553781780/image04.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648704600437948421/753005224733573221/image0-90.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/RXcCt1wo_6UAAAAd/naso-inc-poggers.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/BOSxpACV-xkAAAAC/spin-poggers.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648704600437948421/752099906692448338/Tightlippedlikeableredpanda_0234cf_7950774.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648704600437948421/744977903980380190/image1-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648704600437948421/744977888402735185/image0-1-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648704600437948421/747410939397275740/laugh.gi', '868888972120702996', '868888972120702999', '179894333275766784']
